"title","object","action","food","allplay"
"christ the redeemer - rio de janerio, brazil","whale","examine","beer","weigh"
"clams","car","haunt","spatula","brush"
"chapel bridge","squirt gun","compete","spoon","guarantee"
"bear","candle","twist","strainer","murder"
"goat","miniature portrait","gaze","vegetable","grease"
"alcatraz","bottle of lotion","pedal","salt","sneeze"
"mosquito","fridge","practise","teapot","rot"
"peacock","rolling pin","suggest","butter dish","stir"
"newt","safety pin","measure","banana","ask"
"camel","twister","increase","measuring cup","spray"
"the gherkin","football","depend","grill","include"
"rooster","bell","bathe","cloth","tap"
"rock of gibraltar","comic book","hang","garlic","cross"
"buckingham palace","plush dog","settle","radish","saw"
"goose","handbasket","sip","salad","thank"
"louvre museum","towel","carve","crock pot","sigh"
"swan","carrots","deceive","seafood","dam"
"hagia sophia","sand paper","spare","pear","bomb"
"manneken pis, brussels","scallop shell","groan","trash can","suck"
"turtle","pillow","excuse","electric kettle","trust"
"times square","shirt button","vanish","refrigerator","cry"
"octopus","roll of masking tape","trap","knife","soothe"
"frogspawn","spice bottle","smile","french beans","serve"
"weasel","deodorant","poke","clothes dryer","harass"
"blue whale","pants","admire","mixer","argue"
"badger","music cd","tempt","onion ring","worry"
"flamingo","remote","identify","cooker","tire"
"nyhavn","spoon","obtain","pretzel","open"
"great buddha","dictionary","arrive","hot dog bun","sail"
"seagull","hair brush","slap","fish","stare"
"oxford university","mouse pad","mark","turnip","challenge"
"yellowstone national park","pair of safety goggles","like","clove","reach"
"versailles","bed","wriggle","wall lantern","drum"
"prairie dog","clothes","wink","blender","stamp"
"lascaux caves, france","socks","place","laundry soap","confuse"
"lynx","pencil","bruise","candleholder","record"
"scorpion","chicken","crush","dinner table","amuse"
"canary","toy robot","preserve","pie plate","trot"
"bran castle","panda","flow","ginger","wonder"
"gorilla","toy car","rock","tomato juice","connect"
"brighton pier","handful of change","repair","peach","own"
"ellis island immigration museum","chair","dance","evaporative cooler","communicate"
"tower of london","cowboy hat","mend","measuring spoon","tickle"
"seal","necktie","hunt","broccoli","broccoli"
"kestrel","letter opener","fry","artichoke","artichoke"
"london eye","leg warmers","sign","salad spinner","salad spinner"
"guggenheim museum (bilbao)","food","approve","cupboard","cupboard"
"hare","garden spade","expect","cabbage","cabbage"
"toad","spool of wire","float","torch","torch"
"cloud gate, chicago","pool stick","head","roll","roll"
"ant","lace","advise","pizza","pizza"
"turkey","wishbone","recognise","fork","fork"
"neuschwanstein castle","toothpaste","clean","hair dryer","hair dryer"
"angkor wat, cambodia","soap","strap","chopsticks","chopsticks"
"freedom tower, ground zero","hair tie","whine","pea","pea"
"dog","apple","chew","clothes iron","clothes iron"
"alhambra","beef","apologise","bread and butter knife","bread and butter knife"
"washington monument","thermometer","lock","kitchen scale","kitchen scale"
"bullock","bangle bracelet","present","bread basket","bread basket"
"portofino","chenille stick","injure","jackfruit","jackfruit"
"jellyfish","pair of scissors","weigh","spinach","spinach"
"walrus","grid paper","brush","zucchini","zucchini"
"polecat","bottle of syrup","guarantee","beetroot","beetroot"
"centipede","pinecone","murder","pancake","pancake"
"penguin","zipper","grease","kitchen hood","kitchen hood"
"leaning tower of pisa","bow tie","sneeze","lemon","lemon"
"frog","box of crayons","rot","electric fan","electric fan"
"goldfish","bottle of soda","stir","taco","taco"
"tiger","rubber band","ask","jelly roll","jelly roll"
"hamster","scarf","spray","pomegranate","pomegranate"
"petronas twin towers","chain","include","bulb","bulb"
"alligator","sidewalk","tap","coffee cup","coffee cup"
"berlin cathedral","house","cross","wine","wine"
"vulture","locket","saw","pumpkin","pumpkin"
"ox","chapter book","thank","marmalade","marmalade"
"stork","water","sigh","starfruit","starfruit"
"the white house","beaded bracelet","dam","egg","egg"
"mole","belt","bomb","salad fork","salad fork"
"everglades national park","lotion","suck","fries","fries"
"puma","toilet","trust","light bulb","light bulb"
"sydney harbor bridge","quartz crystal","cry","liquid soap","liquid soap"
"dove","canvas","soothe","cereal","cereal"
"westminster abbey","toy top","serve","bleach","bleach"
"bath, england","wooden spoon","harass","juicer","juicer"
"shells","box of chalk","argue","range hood","range hood"
"british museum","white out","worry","kitchen shears","kitchen shears"
"loch ness","sofa","tire","cleaver","cleaver"
"squid","toy boat","open","toaster","toaster"
"wren","button","sail","red pepper","red pepper"
"burj al arab hotel","mirror","stare","timer","timer"
"piazza del campo, siena","hanger","challenge","electric guitar","electric guitar"
"millau bridge, france","vase","reach","cake slice","cake slice"
"mount etna","cookie tin","drum","white wine glass","white wine glass"
"tarantula","hair pin","stamp","cherry","cherry"
"juliets balcony","shovel","confuse","avocado","avocado"
"blue mosque, istanbul","postage stamp","record","water","water"
"swallow","dagger","amuse","kettle","kettle"
"empire state building","baseball","trot","rice","rice"
"berlin wall","chalk","wonder","whole grain bread","whole grain bread"
"anteater","bottle of glue","connect","roller","roller"
"fox","blowdryer","own","casserole dish","casserole dish"
"lion","sticker book","communicate","hamburger bun","hamburger bun"
"the great sphinx","cars","tickle","burger","burger"
